,record number,title,language
215,7672958,Caravan days,eng
216,6496982,First steps in organizing playgrounds by Lee F. Hanmer,eng
217,1940965,Un missionnaire catholique en Angleterre sous le règne d'Elisabeth,fre
218,364121,"Our struggle for the fourteenth colony, Canada and the American Revolution",eng
219,9212680,Optimum distribution of material in sandwich plates loaded in their plane. Including plates with varying modulus of elasticity,eng
220,7670124,"Report of the proceedings of the People's Congress held at Graaff-Reinet, Cape Colony, 31st May, 1900",eng
221,1043367,Commercial and industrial refrigeration,eng
222,9194662,Report,eng
223,7706814,The sufferings and escape of Capt. Chas. H. Brown from an awful imprisonment by Chilian convicts,eng
224,8406972,Geschichte der geistigen Cultur in Niederösterreich von der ältesten Zeit bis in die Gegenwart : Ein Beitrag zu einer Geschichte der geistigen Cultur im Südosten Deutschlands,ger
225,1761274,"Essai d'une bibliographie historique de la Bibliothèque nationale, par É. Pierret ...",fre
226,8628379,"Songs for the sanctuary; or, Psalms and hymns for christian worship",eng
227,6033891,Richard II.,eng
228,9487141,Line voltage and noise monitor,eng
229,9926290,Twilight stories : more tales for the story hour,eng
230,1580180,Organic and physiologic chemistry : a manual for students and practitioners,eng
231,9564749,The coming peace,eng
232,3300486,The universe around us.,eng
233,6143519,Chronicles of Erthig on the Dyke,eng
234,9036468,Fabulas de Loqmán,por
235,7689054,"Foliorum silvula, part the third; being select passages for translation into Greek verse",eng
236,1359895,Little French masterpieces,eng
237,7405468,"Forest habitat types on the Medicine Bow National Forest, southeastern Wyoming : preliminary report",eng
238,9010392,Rheinische dorfgeschichten,ger
239,1959888,"Romes cruelty & apostacie declared in a sermon preached on the fifth of November, 1644, before the honourable House of commons",eng
240,2758384,"Cherokee Nation of Oklahoma : hearings before the Subcommittee on Administrative Law and Governmental Relations of the Committee on the Judiciary, House of Representatives, Ninety-seventh Congress, first session on H.R. 2329, Cherokee Nation of Oklahoma, December 9, 1981",eng
241,9061650,"Les hautes-chaumes des Vosges, étude de geographie et d'economie historiques",fre
242,6234574,American in the rough; the autobiography of W. M. (Bill)  Coffman,eng
243,1887358,"Grundzüge der staats- und privatwirthschaftslehre, nebst einer darlegung deren verhältnisses zur jurisprudenz und anderen verwandten wissenschaften ...",ger
244,3844163,"Does the U.S. Olympic Committee's organizational structure impede its mission? : hearing before the Subcommittee on Commerce, Trade, and Consumer Protection, Committee on Energy and Commerce, House of Representatives, One Hundred Eighth Congress, first session, March 19, 2003",eng
245,9727008,"The whole of the documentary evidence, relative to the controversy between the Regents of the University and the Trustees of Union College, together with the opinion of the late chief justice and other counsel",eng
246,964347,Report of the Committee on improvement of the Mississippi River and tributaries,eng
247,6167354,This mystical life of ours,eng
248,2051734,"En grønlandspræsts optegnelser, 1844-49",dan
249,6687012,The land of beginning again; the romance of the Brazos,eng
250,9647841,"Examen de los sucesos y circunstancias que motivaron el Compromiso de Caspe, y juicio crítico de este acontecimiento y de sus consecuencias en Aragón u en Castilla...",spa
251,8367341,Poésies,fre
252,1618000,The history of the telephone,eng
253,1606309,The soviets in Russia,eng
254,7807707,"Supporting the goals and ideals of National Public Works Week, and for other purposes : report (to accompany H. Res. 1125) (including cost estimate of the Congressional Budget Office).",eng
255,7706896,Days and nights of salmon fishing the Tweed; with a short account of the natural history and habits of the salmon. With illus,eng
256,9470140,A cooperative study of a neighborhood in South Minneapolis : to serve as a basis for a constructive program of well being,eng
257,8610464,"Ariadne florentina; six lectures on wood and metal engraving, with appendix; given before the University of Oxford in Michaelmas term, 1872",eng
258,8656721,Contrasted songs,eng
259,6814927,Affaire Berezowski : attentat contre la personne de S.M. l'Empereur de Russie : réquisitoire et réplique,fre
260,9328893,"Examen y pratica de escrivanos, y indice de las provisiones que se despachan por ordinarias en el Consejo",spa
261,1410989,The gospel in the Gospels,eng
262,8666763,Annals of a quiet neighborhood,eng
263,9649047,"[De la importancia de la química en general, y mas especialmente en sus relaciones íntimas con la fisiología] : discurso leído...",spa
264,8373853,The Parsee letters,eng
265,1908202,"A kiss for Cinderella, a comedy",eng
266,2088551,De l'ancienne et de la nouvelle médecine; premier chapitre de L'histoire de la doctrine médicale homoeopathique; ouvrage en deux volumes,fre
267,4137346,Journal of dispute resolution,eng
268,9708103,Homeri Ilias,lat
269,7410996,Preventing occupational hearing loss : a practical guide,eng
270,528332,Annual reports [of] President and Treasurer,eng
271,9280050,"Retrato de Manuel de Faria y Sousa ... : contiene una relacion de sua vida, un catalogo de sus escritos, y un sumario de sus elogios, recogido de varios autores",por
272,8647922,"Summary of the administration of the Indian government, from October 1813, to January 1823",eng
273,9270847,Guía para los cotejos de letras y fé que merecen según las leyes y los juriconsultos célebres,spa
274,6556415,Instead of a book : by a man too busy to write one : a fragmentary exposition of philosophical anarchism,eng
275,8896178,Etude sur Morellet considéré comme auxiliaire de l'école physiocrate et examen de ses principaux ouvrages économiques,fre
276,778865,"The last years of St. Andrews, Sept.1890-Sept.1895",eng
277,667857,The rescue; a romance of the shallows,eng
278,5949755,Chemical flame inhibition using molecular beam mass spectrometry : an examination of the partial equilibration hypothesis and radical recombination in 1/20 atm methane flames,eng
279,1884661,Trends of school costs,eng
280,9587807,A treatise on the culture of the dahlia and cactus,eng
282,6568046,"Pierce Egan's book of sports, and mirror of life: embracing the turf, the chase, the ring, and the stage",eng
283,8890127,"La métaphysique, livres II et III",fre
284,8889985,Būstān,per
285,8683029,"The constitution of the Presbyterian Church in the United States of America : being ... the Confession of faith, the Larger and Shorter catechisms, the Form of government, the Book of discipline, and the Directory for the worship of God ... as amended in the years 1805-1895, together with the constitutional rules adopted in 1893-1897 and administrative acts of the assembly of a general nature",eng
286,7309599,Chinese poems,eng
287,1596924,Catalogue of Greek coins,eng
288,9262279,Frank Leslie's illustrated history of the Civil War. The most important events of the conflict between the States graphically pictured. Stirring battle scenes and grand naval engagements ... portraits of principal participants ...,eng
289,3868430,Draft toxicological profile for synthetic vitreous fibers,eng
290,3217719,"Oversight of energy conservation hearings before the Committee on Government Operations, United States Senate, Ninety-fourth Congress, first session, April 16, 17, and 18, 1975",eng
291,8901461,Catéchisme du Concile de Trente,fre
292,2130984,Bulletin,eng
293,6507752,Relief; a primer for the family rehabilitation work of the Buffalo Charity Organization Society,eng
294,7127606,"The pillars of society, and other plays",eng
295,1400299,"The life, character, and acts of John the Baptist : and the relation of his ministry to the Christian dispensation",eng
296,984120,Ertsehlungen,yid
297,9331172,Memoires de litterature et d'histoire,fre
